時間,設備,值
2024-10-26 09:46:13,SA-01/LED_LEVEL,4
2024-10-26 09:46:13,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:13,SA-01/LINE_LEVEL,1
2024-10-26 09:46:13,SA-01/LED_LEVEL,9
2024-10-26 09:46:14,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:14,SA-01/LED_LEVEL,4
2024-10-26 09:46:14,SA-01/LED_LEVEL,9
2024-10-26 09:46:14,SA-01/LED_LEVEL,4
2024-10-26 09:46:14,SA-01/LED_LEVEL,9
2024-10-26 09:46:15,SA-01/LED_LEVEL,4
2024-10-26 09:46:15,SA-01/LED_LEVEL,9
2024-10-26 09:46:15,SA-01/LED_LEVEL,4
2024-10-26 09:46:15,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:15,SA-01/LED_LEVEL,9
2024-10-26 09:46:16,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:16,SA-01/LED_LEVEL,4
2024-10-26 09:46:16,SA-01/LED_LEVEL,9
2024-10-26 09:46:16,SA-01/LED_LEVEL,4
2024-10-26 09:46:16,SA-01/LED_LEVEL,9
2024-10-26 09:46:17,SA-01/LED_LEVEL,4
2024-10-26 09:46:17,SA-01/LED_LEVEL,9
2024-10-26 09:46:17,SA-01/LED_LEVEL,4
2024-10-26 09:46:17,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:18,SA-01/LED_LEVEL,9
2024-10-26 09:46:18,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:18,SA-01/LED_LEVEL,4
2024-10-26 09:46:18,SA-01/LED_LEVEL,9
2024-10-26 09:46:18,SA-01/LED_LEVEL,4
2024-10-26 09:46:18,SA-01/LED_LEVEL,9
2024-10-26 09:46:19,SA-01/LED_LEVEL,4
2024-10-26 09:46:19,SA-01/LED_LEVEL,9
2024-10-26 09:46:19,SA-01/LED_LEVEL,4
2024-10-26 09:46:19,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:19,SA-01/LED_LEVEL,9
2024-10-26 09:46:20,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:20,SA-01/LED_LEVEL,4
2024-10-26 09:46:20,SA-01/LED_LEVEL,9
2024-10-26 09:46:20,SA-01/LED_LEVEL,4
2024-10-26 09:46:20,SA-01/LED_LEVEL,9
2024-10-26 09:46:21,SA-01/LED_LEVEL,4
2024-10-26 09:46:21,SA-01/LED_LEVEL,9
2024-10-26 09:46:21,SA-01/LED_LEVEL,4
2024-10-26 09:46:21,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:22,SA-01/LED_LEVEL,9
2024-10-26 09:46:22,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:22,SA-01/LED_LEVEL,4
2024-10-26 09:46:22,SA-01/LED_LEVEL,9
2024-10-26 09:46:22,SA-01/LED_LEVEL,4
2024-10-26 09:46:22,SA-01/LED_LEVEL,9
2024-10-26 09:46:23,SA-01/LED_LEVEL,4
2024-10-26 09:46:23,SA-01/LED_LEVEL,9
2024-10-26 09:46:23,SA-01/LED_LEVEL,4
2024-10-26 09:46:23,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:24,SA-01/LED_LEVEL,9
2024-10-26 09:46:24,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:24,SA-01/LED_LEVEL,4
2024-10-26 09:46:24,SA-01/LED_LEVEL,9
2024-10-26 09:46:24,SA-01/LED_LEVEL,4
2024-10-26 09:46:24,SA-01/LED_LEVEL,9
2024-10-26 09:46:25,SA-01/LED_LEVEL,4
2024-10-26 09:46:25,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:26,SA-01/LED_LEVEL,9
2024-10-26 09:46:26,SA-01/LED_LEVEL,4
2024-10-26 09:46:26,SA-01/LED_LEVEL,9
2024-10-26 09:46:26,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:26,SA-01/LED_LEVEL,4
2024-10-26 09:46:26,SA-01/LED_LEVEL,9
2024-10-26 09:46:27,SA-01/LED_LEVEL,4
2024-10-26 09:46:27,SA-01/LED_LEVEL,9
2024-10-26 09:46:27,SA-01/LED_LEVEL,4
2024-10-26 09:46:27,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:28,SA-01/LED_LEVEL,9
2024-10-26 09:46:28,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:28,SA-01/LED_LEVEL,4
2024-10-26 09:46:28,SA-01/LED_LEVEL,9
2024-10-26 09:46:28,SA-01/LED_LEVEL,4
2024-10-26 09:46:28,SA-01/LED_LEVEL,9
2024-10-26 09:46:29,SA-01/LED_LEVEL,4
2024-10-26 09:46:29,SA-01/LED_LEVEL,9
2024-10-26 09:46:29,SA-01/LED_LEVEL,4
2024-10-26 09:46:29,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:29,SA-01/LED_LEVEL,9
2024-10-26 09:46:30,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:30,SA-01/LED_LEVEL,4
2024-10-26 09:46:30,SA-01/LED_LEVEL,9
2024-10-26 09:46:30,SA-01/LED_LEVEL,4
2024-10-26 09:46:30,SA-01/LED_LEVEL,9
2024-10-26 09:46:31,SA-01/LED_LEVEL,4
2024-10-26 09:46:31,SA-01/LED_LEVEL,9
2024-10-26 09:46:31,SA-01/LED_LEVEL,4
2024-10-26 09:46:31,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:32,SA-01/LED_LEVEL,9
2024-10-26 09:46:32,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:32,SA-01/LED_LEVEL,4
2024-10-26 09:46:32,SA-01/LED_LEVEL,9
2024-10-26 09:46:32,SA-01/LED_LEVEL,4
2024-10-26 09:46:32,SA-01/LED_LEVEL,9
2024-10-26 09:46:33,SA-01/LED_LEVEL,4
2024-10-26 09:46:33,SA-01/LED_LEVEL,9
2024-10-26 09:46:33,SA-01/LED_LEVEL,4
2024-10-26 09:46:33,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:34,SA-01/LED_LEVEL,9
2024-10-26 09:46:34,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:34,SA-01/LED_LEVEL,4
2024-10-26 09:46:34,SA-01/LED_LEVEL,9
2024-10-26 09:46:34,SA-01/LED_LEVEL,4
2024-10-26 09:46:35,SA-01/LED_LEVEL,9
2024-10-26 09:46:35,SA-01/LED_LEVEL,4
2024-10-26 09:46:35,SA-01/LED_LEVEL,9
2024-10-26 09:46:35,SA-01/LED_LEVEL,4
2024-10-26 09:46:35,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:35,SA-01/LED_LEVEL,9
2024-10-26 09:46:36,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:36,SA-01/LED_LEVEL,4
2024-10-26 09:46:36,SA-01/LED_LEVEL,9
2024-10-26 09:46:36,SA-01/LED_LEVEL,4
2024-10-26 09:46:36,SA-01/LED_LEVEL,9
2024-10-26 09:46:37,SA-01/LED_LEVEL,4
2024-10-26 09:46:37,SA-01/LED_LEVEL,9
2024-10-26 09:46:37,SA-01/LED_LEVEL,4
2024-10-26 09:46:37,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:38,SA-01/LED_LEVEL,9
2024-10-26 09:46:38,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:38,SA-01/LED_LEVEL,4
2024-10-26 09:46:38,SA-01/LED_LEVEL,9
2024-10-26 09:46:38,SA-01/LED_LEVEL,4
2024-10-26 09:46:38,SA-01/LED_LEVEL,9
2024-10-26 09:46:39,SA-01/LED_LEVEL,4
2024-10-26 09:46:39,SA-01/LED_LEVEL,9
2024-10-26 09:46:39,SA-01/LED_LEVEL,4
2024-10-26 09:46:39,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:40,SA-01/LED_LEVEL,9
2024-10-26 09:46:40,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:40,SA-01/LED_LEVEL,4
2024-10-26 09:46:40,SA-01/LED_LEVEL,9
2024-10-26 09:46:40,SA-01/LED_LEVEL,4
2024-10-26 09:46:40,SA-01/LED_LEVEL,9
2024-10-26 09:46:41,SA-01/LED_LEVEL,4
2024-10-26 09:46:41,SA-01/LED_LEVEL,9
2024-10-26 09:46:41,SA-01/LED_LEVEL,4
2024-10-26 09:46:41,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:41,SA-01/LED_LEVEL,9
2024-10-26 09:46:42,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:42,SA-01/LED_LEVEL,4
2024-10-26 09:46:42,SA-01/LED_LEVEL,9
2024-10-26 09:46:42,SA-01/LED_LEVEL,4
2024-10-26 09:46:42,SA-01/LED_LEVEL,9
2024-10-26 09:46:43,SA-01/LED_LEVEL,4
2024-10-26 09:46:43,SA-01/LED_LEVEL,9
2024-10-26 09:46:43,SA-01/LED_LEVEL,4
2024-10-26 09:46:43,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:43,SA-01/LED_LEVEL,9
2024-10-26 09:46:44,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:44,SA-01/LED_LEVEL,4
2024-10-26 09:46:44,SA-01/LED_LEVEL,9
2024-10-26 09:46:44,SA-01/LED_LEVEL,4
2024-10-26 09:46:44,SA-01/LED_LEVEL,9
2024-10-26 09:46:45,SA-01/LED_LEVEL,4
2024-10-26 09:46:45,SA-01/LED_LEVEL,9
2024-10-26 09:46:45,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:45,SA-01/LED_LEVEL,4
2024-10-26 09:46:45,SA-01/LED_LEVEL,9
2024-10-26 09:46:46,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:46,SA-01/LED_LEVEL,4
2024-10-26 09:46:46,SA-01/LED_LEVEL,9
2024-10-26 09:46:47,SA-01/LED_LEVEL,4
2024-10-26 09:46:47,SA-01/LED_LEVEL,9
2024-10-26 09:46:47,SA-01/LED_LEVEL,4
2024-10-26 09:46:47,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:48,SA-01/LED_LEVEL,9
2024-10-26 09:46:48,SA-01/LED_LEVEL,4
2024-10-26 09:46:48,SA-01/LED_LEVEL,9
2024-10-26 09:46:48,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:48,SA-01/LED_LEVEL,4
2024-10-26 09:46:48,SA-01/LED_LEVEL,9
2024-10-26 09:46:49,SA-01/LED_LEVEL,4
2024-10-26 09:46:49,SA-01/LED_LEVEL,9
2024-10-26 09:46:49,SA-01/LED_LEVEL,4
2024-10-26 09:46:49,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:49,SA-01/LED_LEVEL,9
2024-10-26 09:46:50,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:50,SA-01/LED_LEVEL,4
2024-10-26 09:46:50,SA-01/LED_LEVEL,9
2024-10-26 09:46:50,SA-01/LED_LEVEL,4
2024-10-26 09:46:50,SA-01/LED_LEVEL,9
2024-10-26 09:46:51,SA-01/LED_LEVEL,4
2024-10-26 09:46:51,SA-01/LED_LEVEL,9
2024-10-26 09:46:51,SA-01/LED_LEVEL,4
2024-10-26 09:46:51,SA-01/TEMPERATURE,30.32
2024-10-26 09:46:52,SA-01/LED_LEVEL,9
2024-10-26 09:46:52,SA-01/TEMPERATURE,27.98
2024-10-26 09:46:52,SA-01/LED_LEVEL,4
2024-10-26 09:46:52,SA-01/LED_LEVEL,9
2024-10-26 09:46:52,SA-01/LED_LEVEL,4
2024-10-26 09:46:52,SA-01/LED_LEVEL,9
2024-10-26 09:46:53,SA-01/LED_LEVEL,4
2024-10-26 09:46:54,SA-01/LED_LEVEL,2
2024-10-26 09:46:54,SA-01/LED_LEVEL,0
2024-10-26 09:46:56,SA-01/TEMPERATURE,28.45
2024-10-26 09:46:58,SA-01/TEMPERATURE,27.98
2024-10-26 09:47:00,SA-01/LED_LEVEL,1
2024-10-26 09:47:01,SA-01/LED_LEVEL,2
2024-10-26 09:48:14,SA-01/TEMPERATURE,28.45
2024-10-26 09:48:16,SA-01/TEMPERATURE,27.98
2024-10-26 09:49:08,SA-01/TEMPERATURE,28.45
2024-10-26 09:49:10,SA-01/TEMPERATURE,27.98
2024-10-26 09:49:58,SA-01/TEMPERATURE,28.45
2024-10-26 09:50:00,SA-01/TEMPERATURE,27.98
2024-10-26 09:50:06,SA-01/TEMPERATURE,28.45
2024-10-26 09:50:08,SA-01/TEMPERATURE,27.98
2024-10-26 09:50:10,SA-01/TEMPERATURE,28.45
2024-10-26 09:50:12,SA-01/TEMPERATURE,27.98
2024-10-26 09:50:22,SA-01/TEMPERATURE,28.45
2024-10-26 09:50:24,SA-01/TEMPERATURE,27.98
2024-10-26 09:50:56,SA-01/TEMPERATURE,28.45
2024-10-26 09:50:56,SA-01/TEMPERATURE,27.98
2024-10-26 09:51:23,SA-01/TEMPERATURE,28.45
2024-10-26 09:51:24,SA-01/TEMPERATURE,27.98
2024-10-26 09:51:28,SA-01/TEMPERATURE,28.45
2024-10-26 09:51:30,SA-01/TEMPERATURE,27.98
2024-10-26 09:51:37,SA-01/TEMPERATURE,28.45
2024-10-26 09:51:42,SA-01/TEMPERATURE,27.98
2024-10-26 09:52:34,SA-01/TEMPERATURE,28.45
2024-10-26 09:52:36,SA-01/TEMPERATURE,27.98
2024-10-26 09:52:44,SA-01/TEMPERATURE,28.45
2024-10-26 09:52:48,SA-01/TEMPERATURE,27.98
2024-10-26 09:52:55,SA-01/TEMPERATURE,28.45
2024-10-26 09:52:56,SA-01/TEMPERATURE,27.98
2024-10-26 09:53:04,SA-01/TEMPERATURE,28.45
2024-10-26 09:53:06,SA-01/TEMPERATURE,27.98
2024-10-26 09:53:14,SA-01/TEMPERATURE,28.45
2024-10-26 09:53:16,SA-01/TEMPERATURE,27.98
2024-10-26 09:53:27,SA-01/TEMPERATURE,28.45
2024-10-26 09:53:27,SA-01/TEMPERATURE,27.98
